key,ko,en,es,zh-hans,zh-hant,vi
1~5점,1~5점,1 to 5 points,1 a 5 puntos,1 至 5 分,1 至 5 點,1~5 điểm
24시간 미수락 시 에이전트에게 보낸 독촉 메시지 발송 시각,24시간 미수락 시 에이전트에게 보낸 독촉 메시지 발송 시각,time of nudge message sent to agent after 24 hours of nonacceptance,hora de envío del mensaje nudge al agente tras 24 horas de no recepciones,24 小时未接收后向代理发送提示信息的时间,24 小時未接收訊息後，傳送給代理的推薦訊息時間,thời gian gửi tin nhắn nhắc nhở đến đại lý khi không nhận được trong vòng 24 giờ
AI 서비스 추천 / 스케줄 생성,AI 서비스 추천 / 스케줄 생성,Create AI service recommendations/schedules,Recomendación de servicios y creación de calendarios mediante IA,人工智能服务推荐/日程创建,AI 服務推薦/排程建立,Đề xuất dịch vụ AI / Tạo lịch trình
AI 서비스 추천은 스탠다드 이상 등급에서 이용 가능합니다.,AI 서비스 추천은 스탠다드 이상 등급에서 이용 가능합니다.,AI service recommendations are available on Standard and above.,Las recomendaciones del servicio AI están disponibles a partir de la versión Estándar.,标准版及以上版本可提供人工智能服务建议。,AI 服務建議適用於 Standard 及以上版本。,Dịch vụ đề xuất AI có thể sử dụng ở cấp độ tiêu chuẩn trở lên.
AI 추천 및 에이전트 도움을 원하시면 상위 요금제로 업그레이드하세요.,AI 추천 및 에이전트 도움을 원하시면 상위 요금제로 업그레이드하세요.,Upgrade to a higher plan for AI recommendations and agent assistance.,Actualice a un plan superior para obtener recomendaciones de IA y asistencia de agentes.,升级到更高级计划，可获得人工智能建议和代理协助。,升級至更高的方案，以獲得 AI 建議和代理協助。,"Nếu bạn muốn nhận được đề xuất từ AI và sự trợ giúp từ đại lý, hãy nâng cấp lên gói cước cao hơn."
AI 추천 사용,AI 추천 사용,Using AI recommendations,Recomendaciones de la IA,使用人工智能建议,使用 AI 建議,Sử dụng đề xuất AI
Accept rate (수락률),Accept rate (수락률),Accept rate,Tasa de aceptación,接受率,接受率,Tỷ lệ chấp nhận (Accept rate)
Agent,Agent,Agent,Agente,代理,代理,Đại lý
Agent 가격,Agent 가격,Agent pricing,Precios de los agentes,代理定价,代理定價,Giá đại lý
Agent 목록을 불러올 수 없습니다.,Agent 목록을 불러올 수 없습니다.,Unable to retrieve the Agent list.,No se puede recuperar la lista de agentes.,无法检索代理列表。,無法擷取 Agent 清單。,Không thể tải danh sách đại lý.
Agent 선택 필요,Agent 선택 필요,Requires Agent selection,Requiere selección de Agente,需要选择代理,需要選擇代理,Cần chọn đại lý
Agent 신청 항목 · 과금,Agent 신청 항목 · 과금,Agent application topics - Billing,Tema de la solicitud de agente - Facturación,代理申请主题 - 账单,代理申請主題 - 帳單,Đăng ký đại lý · Thanh toán
Checkout 합계,Checkout 합계,Checkout total,Total de la caja,结账总额,結帳總額,Tổng số tiền thanh toán
Customer 가격,Customer 가격,Customer pricing,Precios para los clientes,客户定价,客戶定價,Giá khách hàng
"EMAIL_HOST_USER, EMAIL_HOST_PASSWORD 환경변수가 설정되지 않았습니다.","EMAIL_HOST_USER, EMAIL_HOST_PASSWORD 환경변수가 설정되지 않았습니다.","The EMAIL_HOST_USER, EMAIL_HOST_PASSWORD environment variables are not set.",Las variables de entorno EMAIL_HOST_USER y EMAIL_HOST_PASSWORD no están definidas.,未设置 EMAIL_HOST_USER 和 EMAIL_HOST_PASSWORD 环境变量。,EMAIL_HOST_USER 和 EMAIL_HOST_PASSWORD 環境變數未設定。,Biến môi trường EMAIL_HOST_USER và EMAIL_HOST_PASSWORD chưa được thiết lập.
EN English,EN English,EN English,ES Inglés,EN 英语,EN 英文,EN Tiếng Anh
ES Español,ES Español,ES Español,ES English,ES 西班牙语,ES 西班牙語,ES Tiếng Tây Ban Nha
KR 한국어,KR 한국어,KR Korean,KR Coreano,KR 韩语,KR 韓文,KR Tiếng Hàn
LifeAI USA와 함께 비즈니스를 성장시키세요.,LifeAI USA와 함께 비즈니스를 성장시키세요.,Grow your business with LifeAI USA.,Haga crecer su negocio con LifeAI USA.,与 LifeAI USA 一起发展您的业务。,與 LifeAI USA 一起發展您的業務。,Hãy phát triển doanh nghiệp của bạn cùng LifeAI USA.
VI Tiếng Việt,VI Tiếng Việt,VI Tiếng Việt,VI Tiếng Việt,VI Tiếng Việt,VI Tiếng Việt,VI Tiếng Việt
ZH 中文(简体),ZH 中文(简体),ZH 中文(简体),ZH 中文(简体),ZH 中文（简体）,ZH 中文(簡體),ZH Tiếng Trung (Giản thể)
ZH 中文(繁體),ZH 中文(繁體),ZH 中文(繁體),ZH 中文(繁體),ZH 中文(繁體),ZH 中文(繁體),ZH Tiếng Trung (Phồn thể)
"{""YYYY-MM-DD"": [{""code"":""X"",""label"":""Y""}, ...]}","{""YYYY-MM-DD"": [{""code"":""X"",""label"":""Y""}, ...]}","{""YYYY-MM-DD"": [{""code"":""X"",""label"":""Y""}, ...]}","{""AAAA-MM-DD"": [{""code"":""X"",""label"":""Y""}, ...]}","{""YYYY-MM-DD""：[{""code"":""X"",""label"":""Y""}, ...]}","{""YYYY-MM-DD""：[{""code"":""X"",""label"":""Y""}, ...]}","{""YYYY-MM-DD"": [{""code"":""X"",""label"":""Y""}, ...]}"
가능한 Agent,가능한 Agent,possible Agents,posibles agentes,可能的代理,可能的代理商,đại lý có thể
가입 시 사용한 이메일,가입 시 사용한 이메일,the email you used to sign up,la dirección de correo electrónico que utilizó para registrarse,您注册时使用的电子邮件,您註冊時使用的電子郵件,email used when registering
가입하기,가입하기,sign up,inscríbete,注册,註冊,đăng ký
각 지역 게시판에서 다양한 정보를 찾아보세요.,각 지역 게시판에서 다양한 정보를 찾아보세요.,find a wealth of information on your local message board.,encuentre abundante información en los tablones de anuncios de su localidad.,在当地的留言板上可以找到丰富的信息。,在您當地的留言板上可以找到豐富的資訊。,hãy tìm kiếm các thông tin đa dạng trên bảng thông báo của từng khu vực.
건,건,guns,armas,枪支,槍,건
견적 신청,견적 신청,request a quote,solicitar un presupuesto,索取报价,要求報價,yêu cầu báo giá
견적/스케줄 식별용 (예: DRIVERS_LICENSE). 비어있으면 id 사용,견적/스케줄 식별용 (예: DRIVERS_LICENSE). 비어있으면 id 사용,"for quote/schedule identification (e.g. DRIVERS_LICENSE). if empty, use ID","para la identificación de citas/programas (por ejemplo, DRIVERS_LICENSE). si está vacío, utilice ID",用于引用/计划标识（如 DRIVERS_LICENSE）。如果为空，则使用 ID,用於引用/排程識別 (例如 DRIVERS_LICENSE)。如果為空，請使用 ID,"dùng để xác định báo giá/lịch trình (ví dụ: DRIVERS_LICENSE). Nếu trống, sử dụng id"
결재 대기,결재 대기,waiting for payment,a la espera del pago,等待付款,等待付款,đang chờ phê duyệt
결재 대기중,결재 대기중,waiting for payment,a la espera del pago,等待付款,等待付款,đang chờ phê duyệt
결제 처리에 실패했습니다.,결제 처리에 실패했습니다.,payment processing failed.,no se ha podido procesar el pago.,付款处理失败。,付款處理失敗。,thanh toán không thành công.
결제를 완료하면 에이전트에게 약속이 전달됩니다.,결제를 완료하면 에이전트에게 약속이 전달됩니다.,"after you complete the payment, the appointment is delivered to the agent.","una vez efectuado el pago, la cita se entrega al agente.",付款后，预约将交付给代理。,付款後，預約將交付給代理。,"khi hoàn tất thanh toán, cuộc hẹn sẽ được chuyển đến đại lý."
결제하기,결제하기,make a payment,realizar un pago,付款,付款,thanh toán
결제하시겠습니까?,결제하시겠습니까?,want to pay?,¿Quiere pagar?,要付钱吗？,要付款嗎？,quý khách có muốn thanh toán không?
계정 유형,계정 유형,account types,tipo de cuenta,账户类型,帳戶類型,loại tài khoản
고객 (Customer),고객 (Customer),customer,cliente,客户,客戶,khách hàng (Customer)
고객 평가,고객 평가,customer reviews,testimonios de clientes,客户评价,客戶推薦,đánh giá của khách hàng
고객 평가 내역,고객 평가 내역,customer review history,historial de opiniones de clientes,客户评价历史,客戶評論記錄,lịch sử đánh giá của khách hàng
공항픽업,공항픽업,airport pickup,recogida en el aeropuerto,机场接送,機場接送,đón tại sân bay
관련 서비스를 찾지 못했습니다. 직접 선택해 주세요.,관련 서비스를 찾지 못했습니다. 직접 선택해 주세요.,"no related services found, please select your own.","no se han encontrado servicios relevantes, por favor seleccione el suyo.",未找到相关服务，请自行选择。,未找到相關服務，請自行選擇。,không tìm thấy dịch vụ liên quan. Vui lòng chọn trực tiếp.
관리,관리,Admin,Administrar,管理,管理,Quản lý
광고 등 클릭 시 이동할 URL,광고 등 클릭 시 이동할 URL,"uRL to go to when clicking on an ad, etc","uRL a la que ir al hacer clic en un anuncio, etc",点击广告时要转到的 URL 等。,點選廣告時要前往的 URL 等。,"uRL chuyển hướng khi nhấp vào quảng cáo, v.v"
광고 등록 신청,광고 등록 신청,apply to list an ad,solicite el registro de su anuncio,申请注册您的广告,申請註冊您的廣告,đăng ký quảng cáo
광고 문의,광고 문의,advertising inquiries,consultas publicitarias,广告咨询,廣告查詢,quảng cáo
광고 부제목,광고 부제목,ad subheadings,subtítulos de anuncios,广告小标题,廣告副標題,tiêu đề phụ quảng cáo
광고 제목,광고 제목,ad title,título del anuncio,广告标题,廣告標題,tiêu đề quảng cáo
그라데이션 CSS,그라데이션 CSS,gradient CSS,gradiente CSS,渐变 CSS,漸層 CSS,gradient CSS
금,금,Fri,oro,金色,黃金,vàng
기본 메뉴얼을 참고하여 직접 진행할 수 있는 서비스를 제공합니다.,기본 메뉴얼을 참고하여 직접 진행할 수 있는 서비스를 제공합니다.,we provide a basic manual to help you get started.,le ofrecemos servicios que puede realizar usted mismo consultando el manual principal.,我们提供的服务，您可以参照主手册自行操作。,我們提供的服務，您可以參考主手冊自行操作。,chúng tôi cung cấp dịch vụ mà bạn có thể tự thực hiện bằng cách tham khảo hướng dẫn cơ bản.
기본 메뉴얼을 보고 따라 할 수 있는 서비스를 제공합니다.,기본 메뉴얼을 보고 따라 할 수 있는 서비스를 제공합니다.,We provide services that you can follow using the basic manual.,Ofrecemos servicios que puede seguir con el manual básico.,我们提供可按照基本手册操作的服务。,我們提供可依基本手冊操作之服務。,Chúng tôi cung cấp dịch vụ mà bạn có thể làm theo bằng sổ tay cơ bản.
기본 정보부터 시작하세요,기본 정보부터 시작하세요,Start with the basics,empezar por lo básico,从基础做起,從基本開始,bắt đầu từ thông tin cơ bản
기업 광고,기업 광고,enterprise Ads,publicidad corporativa,企业广告,企業廣告,quảng cáo doanh nghiệp
기업서비스,기업서비스,Corporate Services,Servicios corporativos,企业服务,企業服務,Dịch vụ doanh nghiệp
기타,기타,other,其他,其他,其他,khác
교통/차량,교통/차량,Transportation / Vehicle,Transporte / Vehículo,交通/车辆,交通/車輛,Giao thông / Xe
주거/임대,주거/임대,Housing / Rental,Vivienda / Alquiler,住房/租赁,住房/租賃,Nhà ở / Thuê
생활편의,생활편의,Daily convenience,Vida cotidiana,生活便利,生活便利,Sinh hoạt
의료/교육,의료/교육,Medical / Education,Médico / Educación,医疗/教育,醫療/教育,Y tế / Giáo dục
행정/문서,행정/문서,Administration / Documents,Administración / Documentos,行政/文件,行政/文件,Hành chính / Tài liệu
"날짜별 서비스: {""YYYY-MM-DD"": [""SERVICE_CODE"", ...]}","날짜별 서비스: {""YYYY-MM-DD"": [""SERVICE_CODE"", ...]}","service by date: {""YYYY-MM-DD"": [""SERVICE_CODE"", ...]}","servicio por fecha: {""AAAA-MM-DD"": [""CÓDIGO_SERVICIO"", ...]}","按日期提供服务： {""YYYY-MM-DD""：[""服务代码"", ...]}","按日期提供服務： {""YYYY-MM-DD""：[「服務編號」, ...]}","dịch vụ theo ngày: {""YYYY-MM-DD"": [""SERVICE_CODE"", ...]}"
남성,남성,male,hombre,男,男性,nam giới
내 정착 플랜,내 정착 플랜,My settlement plan,mi plan de liquidación,我的和解计划,我的和解計劃,kế hoạch định cư của tôi
네트워크 오류가 발생했을 수 있습니다. 다시 시도해 주세요.,네트워크 오류가 발생했을 수 있습니다. 다시 시도해 주세요.,there may have been a network error. please try again.,"es posible que se haya producido un error en la red. por favor, inténtelo de nuevo.",可能出现网络错误。请重试。,可能發生網路錯誤。請再試一次。,có thể đã xảy ra lỗi mạng. Vui lòng thử lại.
년,년,year,año,年,年,năm
1월,1월,Jan,Ene,1月,1月,Tháng 1
2월,2월,Feb,Feb,2月,2月,Tháng 2
3월,3월,Mar,Mar,3月,3月,Tháng 3
4월,4월,Apr,Abr,4月,4月,Tháng 4
5월,5월,May,May,5月,5月,Tháng 5
6월,6월,Jun,Jun,6月,6月,Tháng 6
7월,7월,Jul,Jul,7月,7月,Tháng 7
8월,8월,Aug,Ago,8月,8月,Tháng 8
9월,9월,Sep,Sep,9月,9月,Tháng 9
10월,10월,Oct,Oct,10月,10月,Tháng 10
11월,11월,Nov,Nov,11月,11月,Tháng 11
12월,12월,Dec,Dic,12月,12月,Tháng 12
노출 위치,노출 위치,exposure position,posición de exposición,曝光位置,曝光位置,vị trí phơi sáng
다양한 게시판에서 경험을 나누고 질문하세요.,다양한 게시판에서 경험을 나누고 질문하세요.,share your experiences and ask questions on the various boards.,comparta sus experiencias y haga preguntas en los distintos foros.,在各个板块上分享您的经验并提出问题。,在各個討論區分享您的經驗並提出問題。,hãy chia sẻ kinh nghiệm và đặt câu hỏi trên các diễn đàn khác nhau.
다음,다음,next,siguiente,下一页,下一頁,tiếp theo
닫기,닫기,Close,Cerrar,关闭,關閉,Đóng
달력에 서비스를 드래그하고 Agent를 선택하면 결제할 항목이 여기에 표시됩니다. (이미 결제한 항목은 표시되지 않습니다.),달력에 서비스를 드래그하고 Agent를 선택하면 결제할 항목이 여기에 표시됩니다. (이미 결제한 항목은 표시되지 않습니다.),"when you drag a service to the calendar and select Agent, the items you want to pay for appear here. (Items that you've already paid for don't appear.)","cuando arrastra un servicio al calendario y selecciona Agente, los elementos que desea pagar aparecen aquí (los elementos que ya ha pagado no aparecen)",当您把服务拖到日历上并选择代理时，您要支付的项目就会出现在这里（已经支付的项目不会出现）。,當您將服務拖曳到行事曆上並選擇代理時，您要付款的項目就會出現在這裡 (已付款的項目不會出現)。,"kéo dịch vụ vào lịch và chọn Agent, các mục thanh toán sẽ hiển thị ở đây. (Các mục đã thanh toán sẽ không hiển thị.)"
달력에서 서비스 카드를 클릭해 Agent를 선택한 항목만 과금되며 여기에 표시됩니다.,달력에서 서비스 카드를 클릭해 Agent를 선택한 항목만 과금되며 여기에 표시됩니다.,only the items for which you selected Agent by clicking the service card in the calendar will be billed and displayed here.,sólo se facturarán y mostrarán aquí los elementos para los que haya seleccionado Agente haciendo clic en una tarjeta de servicio en el calendario.,只有通过点击日历中的服务卡选择代理的项目才会在此计费和显示。,只有您透過按一下行事曆中的服務卡選擇代理的項目，才會在此處計費和顯示。,chỉ những mục được chọn bằng cách nhấp vào thẻ dịch vụ trên lịch và chọn Agent mới được tính phí và hiển thị ở đây.
담당자명,담당자명,contact name,nombre de contacto,联系人姓名,聯絡人姓名,tên người phụ trách
도시,도시,city,ciudad,城市,城市,thành phố
등록된 도시가 없습니다.,등록된 도시가 없습니다.,no cities are listed.,no hay ciudades registradas.,没有城市注册。,沒有城市註冊。,không có thành phố nào được đăng ký.
등록된 서비스가 없습니다.,등록된 서비스가 없습니다.,no services are registered.,no se registra ningún servicio.,没有登记任何服务。,未登記任何服務。,không có dịch vụ nào được đăng ký.
랜딩헬프와 함께 새로운 삶을 준비하세요.,랜딩헬프와 함께 새로운 삶을 준비하세요.,get ready for a new life with LandingHelp.,prepárate para una nueva vida con LandingHelp.,准备好与 LandingHelp 一起迎接新生活。,與 LandingHelp 一起準備迎接新生活。,hãy chuẩn bị cho cuộc sống mới cùng Landing Help.
로그아웃,로그아웃,Log out,Cerrar sesión,退出登录,登出,Đăng xuất
로그인,로그인,Log in,Iniciar sesión,登录,登入,Đăng nhập
로딩 중...,로딩 중...,loading...,cargando...,正在加载...,載入中...,đang tải...
링크 URL,링크 URL,link URL,enlace URL,链接网址,連結網址,uRL liên kết
메시지,메시지,message,mensaje,留言,訊息,thông điệp
메시지 보내기,메시지 보내기,send a message,enviar un mensaje,发送信息,傳送訊息,gửi tin nhắn
메시지 함,메시지 함,Messages,Mensajes,消息,訊息,Tin nhắn
메시지함으로 이동,메시지함으로 이동,Go to Messages,Ir a mensajes,前往消息,前往訊息,Đến hộp thư
모든 항목에 에이전트가 도움을 드립니다.,모든 항목에 에이전트가 도움을 드립니다.,agents are here to help with everything.,los agentes están aquí para ayudarle en todo.,代理们将为您提供一切帮助。,代理可幫助您解決一切問題。,đại lý sẽ hỗ trợ bạn trong tất cả các mục.
목,목,Thu,cuello,颈项,脖子,cổ
목록으로,목록으로,to list,enumerar,列出,列出,vào danh sách
무료,무료,free,gratis,免费,免費,miễn phí
무료 Agent 서비스,무료 Agent 서비스,free Agent service,servicio de agente gratuito,免费代理服务,免費代理服務,dịch vụ đại lý miễn phí
미국 정착의 시작,미국 정착의 시작,the beginning of settling in the United States,el comienzo de la colonización estadounidense,美国定居的开始,美國人定居的開始,bắt đầu định cư tại Mỹ
배경 이미지,배경 이미지,background image,imagen de fondo,背景图片,背景圖片,hình nền
번째 슬라이드,번째 슬라이드,first slide,primera diapositiva,第一张幻灯片,第一張幻燈片,slide thứ
별점,별점,star rating,clasificación por estrellas,星级,星級,đánh giá sao
병원방문,병원방문,hospital visits,visitas al hospital,医院就诊,醫院探訪,thăm bệnh viện
부제목,부제목,subheadings,subrúbricas,小标题,副標題,tiêu đề phụ
비밀번호,비밀번호,Password,contraseña,密码,密碼,mật khẩu
비밀번호 찾기,비밀번호 찾기,Reset password,contraseña olvidada,找回密码,找回密碼,tìm mật khẩu
비밀번호가 일치하지 않습니다.,비밀번호가 일치하지 않습니다.,the passwords don't match.,las contraseñas no coinciden.,密码不匹配,密碼不匹配。,mật khẩu không khớp.
사용자,사용자,user,usuario,用户,使用者,người dùng
사용자 정착 플랜,사용자 정착 플랜,user settlement plans,planes de liquidación de usuarios,用户结算计划,使用者結算計劃,kế hoạch định cư của người dùng
사용자들,사용자들,users,usuarios,用户,使用者,người dùng
사진 선택,사진 선택,select a photo,seleccione una foto,选择照片,選擇相片,chọn ảnh
삭제,삭제,delete,borrar,删除,刪除,xóa
상태,상태,status,estado,现状,狀態,trạng thái
새 메시지가 도착했습니다,새 메시지가 도착했습니다,You have new messages,Tienes nuevos mensajes,您有新消息,您有新訊息,Bạn có tin nhắn mới
새 비밀번호,새 비밀번호,new password,nueva contraseña,新密码,新密碼,mật khẩu mới
새 비밀번호 확인,새 비밀번호 확인,confirm your new password,confirme su nueva contraseña,确认新密码,確認您的新密碼,xác nhận mật khẩu mới
생년월일,생년월일,date of birth,fecha de nacimiento,出生日期,出生日期,ngày sinh
